Fretboard Notes and Frequencies

    Copyright (c)  2010-2026 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

NOTE: In this book/program 440hz is A6, not A4

Banjo, Plectrum

-4 Frets
    1               2               3               4

3   D#4  155.5635   Bb5  233.0819   D5   293.6648   F5   349.2282
4   E4   164.8138   B5   246.9417   D#5  311.127    F#5  369.9944
5   F4   174.6141   C5   261.6256   E5   329.6276   G5   391.9954
6   F#4  184.9972   C#5  277.1826   F5   349.2282   G#5  415.3047
7   G4   195.9977   D5   293.6648   F#5  369.9944   A6   440
8   G#4  207.6523   D#5  311.127    G5   391.9954   Bb6  466.1638
9   A5   220        E5   329.6276   G#5  415.3047   B6   493.8833
10  Bb5  233.0819   F5   349.2282   A6   440        C6   523.2511
11  B5   246.9417   F#5  369.9944   Bb6  466.1638   C#6  554.3653
12  C5   261.6256   G5   391.9954   B6   493.8833   D6   587.3295
13  C#5  277.1826   G#5  415.3047   C6   523.2511   D#6  622.254
14  D5   293.6648   A6   440        C#6  554.3653   E6   659.2551
15  D#5  311.217    Bb6  466.1638   D6   587.3295   F6   698.4565
16  E5   329.6276   B6   493.8833   D#6  622.254    F#6  739.9888
17  F5   349.2282   C6   523.2511   E6   659.2551   G6   783.9909
18  F#5  369.9944   C#6  554.3653   F6   698.4565   G#6  830.6094
19  G5   391.9954   D6   587.3295   F#6  739.9888   A7   880
