 Fretboard Notes and Frequencies

    Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

  You may contact the writer of this document at: ambientmine AT protonmail DOT com

NOTE: In this book/program 440hz is A6, not A4

Banjo, Contrabass

-12 Frets

S   4              3              1

19  D3   73.41619  G3   97.99886  C4   130.8128

-8 Frets

S   3              2              1

0   G#1  25.95654  C#2  34.64783  F#2  46.2493
1   A2   27.5      D2   36.7081   G2   48.99943
2   Bb2  29.13524  D#2  38.89087  G#2  51.91309
3   B2   30.86771  E2   41.20344  A3   55
4   C2   32.7032   F2   43.65353  Bb3  58.27047
5   C#2  34.64783  F#2  46.2493   B3   61.73541
6   D2   36.7081   G2   48.99943  C3   65.40639
7   D#2  38.89087  G#2  51.91309  C#3  69.29566
8   E2   41.20344  A3   55        D3   73.41619
9   F2   43.65353  Bb3  58.27047  D#3  77.78175
10  F#2  46.2493   B3   61.73541  E3   82.40689
11  G2   48.99943  C3   65.40639  F3   87.30706
12  G#2  51.91309  C#3  69.29566  F#3  92.49861
13  A3   55        D3   73.41619  G3   97.99886
14  Bb3  58.27047  D#3  77.78175  G#3  103.8262
15  B3   61.73541  E3   82.40689  A4   110
16  C3   65.40639  F3   87.30706  Bb4  116.5409
17  C#2  69.29566  F#3  92.49861  B4   123.4708
18  D3   73.41619  G3   97.99886  C4   130.8128
19  D#3  77.78175  G#3  103.8262  C#4  138.5913

-7 Frets

S   3              2              1

0   A2   27.5      D2   36.7081   G2   48.99943
1   Bb2  29.13524  D#2  38.89087  G#2  51.91309
2   B2   30.86771  E2   41.20344  A3   55
3   C2   32.7032   F2   43.65353  Bb3  58.27047
4   C#2  34.64783  F#2  46.2493   B3   61.73541
5   D2   36.7081   G2   48.99943  C3   65.40639
6   D#2  38.89087  G#2  51.91309  C#3  69.29566
7   E2   41.20344  A3   55        D3   73.41619
8   F2   43.65353  Bb3  58.27047  D#3  77.78175
9   F#2  46.2493   B3   61.73541  E3   82.40689
10  G2   48.99943  C3   65.40639  F3   87.30706
11  G#2  51.91309  C#3  69.29566  F#3  92.49861
12  A3   55        D3   73.41619  G3   97.99886
13  Bb3  58.27047  D#3  77.78175  G#3  103.8262
14  B3   61.73541  E3   82.40689  A4   110
15  C3   65.40639  F3   87.30706  Bb4  116.5409
16  C#2  69.29566  F#3  92.49861  B4   123.4708
17  D3   73.41619  G3   97.99886  C4   130.8128
18  D#3  77.78175  G#3  103.8262  C#4  138.5913
19  E3   82.40689  A4   110       D4   146.8324

-6 Frets

S   3              2              1

0   Bb2  29.13524  D#2  38.89087  G#2  51.91309
1   B2   30.86771  E2   41.20344  A3   55
2   C2   32.7032   F2   43.65353  Bb3  58.27047
3   C#2  34.64783  F#2  46.2493   B3   61.73541
4   D2   36.7081   G2   48.99943  C3   65.40639
5   D#2  38.89087  G#2  51.91309  C#3  69.29566
6   E2   41.20344  A3   55        D3   73.41619
7   F2   43.65353  Bb3  58.27047  D#3  77.78175
8   F#2  46.2493   B3   61.73541  E3   82.40689
9   G2   48.99943  C3   65.40639  F3   87.30706
10  G#2  51.91309  C#3  69.29566  F#3  92.49861
11  A3   55        D3   73.41619  G3   97.99886
12  Bb3  58.27047  D#3  77.78175  G#3  103.8262
13  B3   61.73541  E3   82.40689  A4   110
14  C3   65.40639  F3   87.30706  Bb4  116.5409
15  C#2  69.29566  F#3  92.49861  B4   123.4708
16  D3   73.41619  G3   97.99886  C4   130.8128
17  D#3  77.78175  G#3  103.8262  C#4  138.5913
18  E3   82.40689  A4   110       D4   146.8324
19  F3   87.30706  Bb4  116.5409  D#4  155.5635

-5 Frets

S   3              2              1

0   B2   30.86771  E2   41.20344  A3   55
1   C2   32.7032   F2   43.65353  Bb3  58.27047
2   C#2  34.64783  F#2  46.2493   B3   61.73541
3   D2   36.7081   G2   48.99943  C3   65.40639
4   D#2  38.89087  G#2  51.91309  C#3  69.29566
5   E2   41.20344  A3   55        D3   73.41619
6   F2   43.65353  Bb3  58.27047  D#3  77.78175
7   F#2  46.2493   B3   61.73541  E3   82.40689
8   G2   48.99943  C3   65.40639  F3   87.30706
9   G#2  51.91309  C#3  69.29566  F#3  92.49861
10  A3   55        D3   73.41619  G3   97.99886
11  Bb3  58.27047  D#3  77.78175  G#3  103.8262
12  B3   61.73541  E3   82.40689  A4   110
13  C3   65.40639  F3   87.30706  Bb4  116.5409
14  C#2  69.29566  F#3  92.49861  B4   123.4708
15  D3   73.41619  G3   97.99886  C4   130.8128
16  D#3  77.78175  G#3  103.8262  C#4  138.5913
17  E3   82.40689  A4   110       D4   146.8324
18  F3   87.30706  Bb4  116.5409  D#4  155.5635
19  F#3  92.49861  B4   123.4708  E4   164.8324

-4 Frets

S   3              2              1

0   C2   32.7032   F2   43.65353  Bb3  58.27047
1   C#2  34.64783  F#2  46.2493   B3   61.73541
2   D2   36.7081   G2   48.99943  C3   65.40639
3   D#2  38.89087  G#2  51.91309  C#3  69.29566
4   E2   41.20344  A3   55        D3   73.41619
5   F2   43.65353  Bb3  58.27047  D#3  77.78175
6   F#2  46.2493   B3   61.73541  E3   82.40689
7   G2   48.99943  C3   65.40639  F3   87.30706
8   G#2  51.91309  C#3  69.29566  F#3  92.49861
9   A3   55        D3   73.41619  G3   97.99886
10  Bb3  58.27047  D#3  77.78175  G#3  103.8262
11  B3   61.73541  E3   82.40689  A4   110
12  C3   65.40639  F3   87.30706  Bb4  116.5409
13  C#2  69.29566  F#3  92.49861  B4   123.4708
14  D3   73.41619  G3   97.99886  C4   130.8128
15  D#3  77.78175  G#3  103.8262  C#4  138.5913
16  E3   82.40689  A4   110       D4   146.8324
17  F3   87.30706  Bb4  116.5409  D#4  155.5635
18  F#3  92.49861  B4   123.4708  E4   164.8324
19  G3   97.99886  C4   130.8128  F4   174.6141

-3 Frets

S   3              2              1

0   C#2  34.64783  F#2  46.2493   B3   61.73541
1   D2   36.7081   G2   48.99943  C3   65.40639
2   D#2  38.89087  G#2  51.91309  C#3  69.29566
3   E2   41.20344  A3   55        D3   73.41619
4   F2   43.65353  Bb3  58.27047  D#3  77.78175
5   F#2  46.2493   B3   61.73541  E3   82.40689
6   G2   48.99943  C3   65.40639  F3   87.30706
7   G#2  51.91309  C#3  69.29566  F#3  92.49861
8   A3   55        D3   73.41619  G3   97.99886
9   Bb3  58.27047  D#3  77.78175  G#3  103.8262
10  B3   61.73541  E3   82.40689  A4   110
11  C3   65.40639  F3   87.30706  Bb4  116.5409
12  C#2  69.29566  F#3  92.49861  B4   123.4708
13  D3   73.41619  G3   97.99886  C4   130.8128
14  D#3  77.78175  G#3  103.8262  C#4  138.5913
15  E3   82.40689  A4   110       D4   146.8324
16  F3   87.30706  Bb4  116.5409  D#4  155.5635
17  F#3  92.49861  B4   123.4708  E4   164.8324
18  G3   97.99886  C4   130.8128  F4   174.6141
19  G#3  103.8262  C#4  138.5913  F#4  184.9972

-2 Frets

S   3              2              1

0   D2   36.7081   G2   48.99943  C3   65.40639
1   D#2  38.89087  G#2  51.91309  C#3  69.29566
2   E2   41.20344  A3   55        D3   73.41619
3   F2   43.65353  Bb3  58.27047  D#3  77.78175
4   F#2  46.2493   B3   61.73541  E3   82.40689
5   G2   48.99943  C3   65.40639  F3   87.30706
6   G#2  51.91309  C#3  69.29566  F#3  92.49861
7   A3   55        D3   73.41619  G3   97.99886
8   Bb3  58.27047  D#3  77.78175  G#3  103.8262
9   B3   61.73541  E3   82.40689  A4   110
10  C3   65.40639  F3   87.30706  Bb4  116.5409
11  C#2  69.29566  F#3  92.49861  B4   123.4708
12  D3   73.41619  G3   97.99886  C4   130.8128
13  D#3  77.78175  G#3  103.8262  C#4  138.5913
14  E3   82.40689  A4   110       D4   146.8324
15  F3   87.30706  Bb4  116.5409  D#4  155.5635
16  F#3  92.49861  B4   123.4708  E4   164.8324
17  G3   97.99886  C4   130.8128  F4   174.6141
18  G#3  103.8262  C#4  138.5913  F#4  184.9972
19  A4   110       D4   146.8324  G4   195.9977

-1 Fret

S   3              2              1

0   D#2  38.89087  G#2  51.91309  C#3  69.29566
1   E2   41.20344  A3   55        D3   73.41619
2   F2   43.65353  Bb3  58.27047  D#3  77.78175
3   F#2  46.2493   B3   61.73541  E3   82.40689
4   G2   48.99943  C3   65.40639  F3   87.30706
5   G#2  51.91309  C#3  69.29566  F#3  92.49861
6   A3   55        D3   73.41619  G3   97.99886
7   Bb3  58.27047  D#3  77.78175  G#3  103.8262
8   B3   61.73541  E3   82.40689  A4   110
9   C3   65.40639  F3   87.30706  Bb4  116.5409
10  C#2  69.29566  F#3  92.49861  B4   123.4708
11  D3   73.41619  G3   97.99886  C4   130.8128
12  D#3  77.78175  G#3  103.8262  C#4  138.5913
13  E3   82.40689  A4   110       D4   146.8324
14  F3   87.30706  Bb4  116.5409  D#4  155.5635
15  F#3  92.49861  B4   123.4708  E4   164.8324
16  G3   97.99886  C4   130.8128  F4   174.6141
17  G#3  103.8262  C#4  138.5913  F#4  184.9972
18  A4   110       D4   146.8324  G4   195.9977
19  Bb4  116.5409  D#4  155.5635  G#4  207.6523

Standard Tuning

S   3              2              1

0   E2   41.20344  A3   55        D3   73.41619
1   F2   43.65353  Bb3  58.27047  D#3  77.78175
2   F#2  46.2493   B3   61.73541  E3   82.40689
3   G2   48.99943  C3   65.40639  F3   87.30706
4   G#2  51.91309  C#3  69.29566  F#3  92.49861
5   A3   55        D3   73.41619  G3   97.99886
6   Bb3  58.27047  D#3  77.78175  G#3  103.8262
7   B3   61.73541  E3   82.40689  A4   110
8   C3   65.40639  F3   87.30706  Bb4  116.5409
9   C#2  69.29566  F#3  92.49861  B4   123.4708
10  D3   73.41619  G3   97.99886  C4   130.8128
11  D#3  77.78175  G#3  103.8262  C#4  138.5913
12  E3   82.40689  A4   110       D4   146.8324
13  F3   87.30706  Bb4  116.5409  D#4  155.5635
14  F#3  92.49861  B4   123.4708  E4   164.8324
15  G3   97.99886  C4   130.8128  F4   174.6141
16  G#3  103.8262  C#4  138.5913  F#4  184.9972
17  A4   110       D4   146.8324  G4   195.9977
18  Bb4  116.5409  D#4  155.5635  G#4  207.6523
19  B4   123.4708  E4   164.8324  A5   220

+1 Fret

S   3              2              1

0   F2   43.65353  Bb3  58.27047  D#3  77.78175
1   F#2  46.2493   B3   61.73541  E3   82.40689
2   G2   48.99943  C3   65.40639  F3   87.30706
3   G#2  51.91309  C#3  69.29566  F#3  92.49861
4   A3   55        D3   73.41619  G3   97.99886
5   Bb3  58.27047  D#3  77.78175  G#3  103.8262
6   B3   61.73541  E3   82.40689  A4   110
7   C3   65.40639  F3   87.30706  Bb4  116.5409
8   C#2  69.29566  F#3  92.49861  B4   123.4708
9   D3   73.41619  G3   97.99886  C4   130.8128
10  D#3  77.78175  G#3  103.8262  C#4  138.5913
11  E3   82.40689  A4   110       D4   146.8324
12  F3   87.30706  Bb4  116.5409  D#4  155.5635
13  F#3  92.49861  B4   123.4708  E4   164.8324
14  G3   97.99886  C4   130.8128  F4   174.6141
15  G#3  103.8262  C#4  138.5913  F#4  184.9972
16  A4   110       D4   146.8324  G4   195.9977
17  Bb4  116.5409  D#4  155.5635  G#4  207.6523
18  B4   123.4708  E4   164.8324  A5   220
19  C4   130.8128  F4   174.6141  Bb5  233.0819

+2 Frets

S   3              2              1

0   F#2  46.2493   B3   61.73541  E3   82.40689
1   G2   48.99943  C3   65.40639  F3   87.30706
2   G#2  51.91309  C#3  69.29566  F#3  92.49861
3   A3   55        D3   73.41619  G3   97.99886
4   Bb3  58.27047  D#3  77.78175  G#3  103.8262
5   B3   61.73541  E3   82.40689  A4   110
6   C3   65.40639  F3   87.30706  Bb4  116.5409
7   C#2  69.29566  F#3  92.49861  B4   123.4708
8   D3   73.41619  G3   97.99886  C4   130.8128
9   D#3  77.78175  G#3  103.8262  C#4  138.5913
10  E3   82.40689  A4   110       D4   146.8324
11  F3   87.30706  Bb4  116.5409  D#4  155.5635
12  F#3  92.49861  B4   123.4708  E4   164.8324
13  G3   97.99886  C4   130.8128  F4   174.6141
14  G#3  103.8262  C#4  138.5913  F#4  184.9972
15  A4   110       D4   146.8324  G4   195.9977
16  Bb4  116.5409  D#4  155.5635  G#4  207.6523
17  B4   123.4708  E4   164.8324  A5   220
18  C4   130.8128  F4   174.6141  Bb5  233.0819
19  C#4  138.5913  F#4  184.9972  B5   246.9417

+3 Frets

S   3              2              1

0   G2   48.99943  C3   65.40639  F3   87.30706
1   G#2  51.91309  C#3  69.29566  F#3  92.49861
2   A3   55        D3   73.41619  G3   97.99886
