    Fretboard Notes and Frequencies

    Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

    You may contact the writer of this document at: ambientmine AT protonmail DOT com


Mandolin (16 Frets) 96Hz, 293.7Hz, 440Hz, 659.3Hz

-15 Frets

    4              3              2              1

14  Bb4  116.5409  F5   349.2282  C6   523.2511  G6   783.9909
15  B4   123.4708  F#5  369.9944  C#6  554.3653  G#6  830.6094
16  C4   130.8128  G5   391.9954  D6   587.3295  A7   880

-10 Frets

    4              3              2              1

0   A3   55        E    164.8138  B5   246.9417  F#5  369.9944
1   Bb3  58.27047  F4   174.6141  C5   261.6256  G5   391.9954
2   B3   61.73541  F#4  184.9972  C#5  277.1826  G#5  415.3047
3   C3   65.40639  G4   195.9977  D5   293.6648  A6   440  
4   C#3  69.29566  G#4  207.6523  D#5  311.127   Bb6  466.1638  
5   D3   73.41619  A5   220       E5   329.6176  B6   493.8833
6   D#3  77.78175  Bb5  233.0819  F5   349.2282  C6   523.2511
7   E3   82.40689  B5   246.9417  F#5  369.9944  C#6  554.3653
8   F3   87.30706  C5   261.6256  G5   391.9954  D6   587.3295
9   F#3  92.49861  C#5  277.1826  G#5  415.3047  D#6  622.254
10  G3   97.99886  D5   293.6648  A6   440       E6   659.2551
11  G#3  103.8262  D#5  311.127   Bb6  466.1638  F6   698.4565
12  A4   110       E5   329.6276  B6   493.8833  F#6  739.9888
13  Bb4  116.5409  F5   349.2282  C6   523.2511  G6   783.9909
14  B4   123.4708  F#5  369.9944  C#6  554.3653  G#6  830.6094
15  C4   130.8128  G5   391.9954  D6   587.3295  A7   880
16  C#4  138.5913  G#5  415.3047  D#6  622.254   Bb7  932.3275

-9 Frets

    4              3              2              1

0   Bb3  58.27047  F4   174.6141  C5   293.6648  G5   391.9954
1   B3   61.73541  F#4  184.9972  C#5  277.1826  G#5  415.3047
2   C3   65.40639  G4   195.9977  D5   293.6648  A6   440  
3   C#3  69.29566  G#4  207.6523  D#5  311.127   Bb6  466.1638  
