Fretboard Notes and Frequencies

    Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

    You may contact the writer of this document at: ambientmine AT protonmail DOT com
  
Banjo (Bass, 5-string)

-15 Frets

    5               4               3               2               1

14  C3   65.40639   G3   97.99886   C4   130.8128   E4   164.8138   G4   195.9977
15  C#3  69.29566   G#3  103.8262   C#4  138.5913   F4   174.6141   G#4  207.6523
16  D3   73.41619   A4   110        D4   146.8324   F#4  184.9972   A5   220
17  D#3  77.78175   Bb4  116.5409   D#4  155.5635   G4   195.9977   Bb5  233.0819
18  E3   82.40689   B4   123.4708   E4   164.8138   G#4  207.6523   B5   246.9417
19  F3   87.30706   C4   130.8128   F4   174.6141   A5   220        C5   261.6256

-8 Frets

    5               4               3               2               1

0   B2   30.86771   F#2  46.2493    B3   61.73541   D#3  77.78175   F#3  92.49861
1   C2   32.7032    G2   48.99943   C3   65.40639   E3   82.40689   G3   97.99886
2   C#2  34.64783   G#2  51.91309   C#3  69.29566   F3   87.30706   G#3  103.8262
3   D2   36.7081    A3   55         D3   73.41619   F#3  92.49861   A4   110
4   D#2  38.89087   Bb3  58.27047   D#3  77.78175   G3   97.99886   Bb4  116.5409
5   E2   41.20344   B3   61.73541   E3   82.40689   G#3  103.8262   B4   123.4708
6   F2   43.65353   C3   65.40639   F3   87.30706   A4   110        C4   130.8128
7   F#2  46.2493    C#3  69.29566   F#3  92.49861   Bb4  116.5409   C#4  138.5913
8   G2   48.99943   D3   73.41619   G3   97.99886   B4   123.4708   D4   146.8324
9   G#2  51.91309   D#3  77.78175   G#3  103.8262   C4   130.8128   D#4  155.5635
10  A3   55         E3   82.40689   A4   110        C#4  138.5913   E4   164.8138
11  Bb3  58.27047   F3   87.30706   Bb4  116.5409   D4   146.8324   F4   174.6141
12  B3   61.73541   F#3  92.49861   B4   123.4708   D#4  155.5635   F#4  184.9972
13  C3   65.40639   G3   97.99886   C4   130.8128   E4   164.8138   G4   195.9977
14  C#3  69.29566   G#3  103.8262   C#4  138.5913   F4   174.6141   G#4  207.6523
15  D3   73.41619   A4   110        D4   146.8324   F#4  184.9972   A5   220
16  D#3  77.78175   Bb4  116.5409   D#4  155.5635   G4   195.9977   Bb5  233.0819
17  E3   82.40689   B4   123.4708   E4   164.8138   G#4  207.6523   B5   246.9417
18  F3   87.30706   C4   130.8128   F4   174.6141   A5   220        C5   261.6256
19  F#3  92.49861   C#4  138.5913   F#4  184.9972   Bb5  233.0819   C#5  277.1826

-7 Frets

    5               4               3               2               1

0   C2   32.7032    G2   48.99943   C3   65.40639   E3   82.40689   G3   97.99886
1   C#2  34.64783   G#2  51.91309   C#3  69.29566   F3   87.30706   G#3  103.8262
2   D2   36.7081    A3   55         D3   73.41619   F#3  92.49861   A4   110
3   D#2  38.89087   Bb3  58.27047   D#3  77.78175   G3   97.99886   Bb4  116.5409
4   E2   41.20344   B3   61.73541   E3   82.40689   G#3  103.8262   B4   123.4708
5   F2   43.65353   C3   65.40639   F3   87.30706   A4   110        C4   130.8128
6   F#2  46.2493    C#3  69.29566   F#3  92.49861   Bb4  116.5409   C#4  138.5913
7   G2   48.99943   D3   73.41619   G3   97.99886   B4   123.4708   D4   146.8324
8   G#2  51.91309   D#3  77.78175   G#3  103.8262   C4   130.8128   D#4  155.5635
9   A3   55         E3   82.40689   A4   110        C#4  138.5913   E4   164.8138
10  Bb3  58.27047   F3   87.30706   Bb4  116.5409   D4   146.8324   F4   174.6141
11  B3   61.73541   F#3  92.49861   B4   123.4708   D#4  155.5635   F#4  184.9972
12  C3   65.40639   G3   97.99886   C4   130.8128   E4   164.8138   G4   195.9977
13  C#3  69.29566   G#3  103.8262   C#4  138.5913   F4   174.6141   G#4  207.6523
