    Fretboard Notes and Frequencies

    Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

    You may contact the writer of this document at: ambientmine AT protonmail DOT com


Bulgarian Tambura (24 Frets) (D4 G4 B5 E5)

-18 Frets

    4              3               2               1

    4              3               2               1

0   A3   55        D3   73.41619   F#3  92.49861   B4   123.4708
1   Bb3  58.27047  D#3  77.78175   G3   97.99886   C4   130.8128
2   B3   61.73541  E3   82.40689   G#3  103.8262   C#4  138.5913
3   C3   65.40639  F3   87.30706   A4   110        D4   146.8324
4   C#3  69.29566  F#3  92.49861   Bb4  116.5409   D#4  155.5635
5   D3   73.41619  G3   97.99886   B4   123.4708   E4   164.8138
6   D#3  77.78175  G#3  103.8262   C4   130.8128   F4   174.6141
7   E3   82.40689  A4   110        C#4  138.5913   F#4  184.9972
8   F3   87.30706  Bb4  116.5409   D4   146.8324   G4   195.9977
9   F#3  92.49861  B4   123.4708   D#4  155.5635   G#4  207.6523
10  G3   97.99886  C4   130.8128   E4   164.8138   A5   220
11  G#3  103.8262  C#4  138.5913   F4   174.6141   Bb5  233.0819
12  A4   110       D4   146.8324   F#4  184.9972   B5   246.9417
13  Bb4  116.5409  D#4  155.5635   G4   195.9977   C5   261.6256
14  B4   123.4708  E4   164.8138   G#4  207.6523   C#5  277.1826
15  C4   130.8128  F4   174.6141   A5   220        D5   293.6648
16  C#4  138.5913  F#4  184.9972   Bb5  233.0819   D#5  311.127
17  D4   146.8324  G4   195.9977   B5   246.9417   E5   329.6276
18  D#4  155.5635  G#4  207.6523   C5   261.6256   F5   349.2282
19  E4   164.8138  A5   220        C#5  277.1826   F#5  369.9944
20  F4   174.6141  Bb5  233.0819   D5   293.6648   G5   391.9954
