Fretboard Notes and Frequencies

    Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

    You may contact the writer of this document at: ambientmine AT protonmail DOT com
  
Banjo (5-string)

-12 Frets

    5               4               3               2               1

3   C#3  69.29566   G#3  103.8262   C#4  138.5913   F4   174.6141   G#4  207.6523
4   D3   73.41619   A4   110        D4   146.8324   F#4  184.9972   A5   220
5   D#3  77.78175   Bb4  116.5409   D#4  155.5635   G4   195.9977   Bb5  233.0819
6   E3   82.40689   B4   123.4708   E4   164.8138   G#4  207.6523   B5   246.9417
7   F3   87.30706   C4   130.8128   F4   174.6141   A5   220        C5   261.6256
8   F#3  92.49861   C#4  138.5913   F#4  184.9972   Bb5  233.0819   C#5  277.1826
9   G3   97.99886   D4   146.8324   G4   195.9977   B5   246.9417   D5   293.6648
10  G#3  103.8262   D#4  155.5635   G#4  207.6523   C5   261.6256   D#5  311.127
11  A4   110        E4   164.8138   A5   220        C#5  277.1826   E5   329.6276
12  Bb4  116.5409   F4   174.6141   Bb5  233.0819   D5   293.6648   F5   349.2282
13  B4   123.4708   F#4  184.9972   B5   246.9417   D#5  311.127    F#5  369.9944
14  C4   130.8128   G4   195.9977   C5   261.6256   E5   329.6276   G5   391.9954
15  C#4  138.5913   G#4  207.6523   C#5  277.1826   F5   349.2282   G#5  415.3047
16  D4   146.8324   A5   220        D5   293.6648   F#5  369.9944   A6   440
17  D#4  155.5635   Bb5  233.0819   D#5  311.127    G5   391.9954   Bb6  466.1638
18  E4   164.8138   B5   246.9417   E5   329.6276   G#5  415.3047   B6   493.8833
19  F4   174.6141   C5   261.6256   F5   349.2282   A6   440        C6   523.2511

-8 Frets

    5               4               3               2               1
    
0   B3   61.73541   F#3  92.49861   B4   123.4708   D#4  155.5635   F#4  184.9972
1   C3   65.40639   G3   97.99886   C4   130.8128   E4   164.8138   G4   195.9977
2   C#3  69.29566   G#3  103.8262   C#4  138.5913   F4   174.6141   G#4  207.6523
3   D3   73.41619   A4   110        D4   146.8324   F#4  184.9972   A5   220
4   D#3  77.78175   Bb4  116.5409   D#4  155.5635   G4   195.9977   Bb5  233.0819
5   E3   82.40689   B4   123.4708   E4   164.8138   G#4  207.6523   B5   246.9417
6   F3   87.30706   C4   130.8128   F4   174.6141   A5   220        C5   261.6256
7   F#3  92.49861   C#4  138.5913   F#4  184.9972   Bb5  233.0819   C#5  277.1826
8   G3   97.99886   D4   146.8324   G4   195.9977   B5   246.9417   D5   293.6648
9   G#3  103.8262   D#4  155.5635   G#4  207.6523   C5   261.6256   D#5  311.127
10  A4   110        E4   164.8138   A5   220        C#5  277.1826   E5   329.6276
11  Bb4  116.5409   F4   174.6141   Bb5  233.0819   D5   293.6648   F5   349.2282
12  B4   123.4708   F#4  184.9972   B5   246.9417   D#5  311.127    F#5  369.9944
13  C4   130.8128   G4   195.9977   C5   261.6256   E5   329.6276   G5   391.9954
14  C#4  138.5913   G#4  207.6523   C#5  277.1826   F5   349.2282   G#5  415.3047
15  D4   146.8324   A5   220        D5   293.6648   F#5  369.9944   A6   440
16  D#4  155.5635   Bb5  233.0819   D#5  311.127    G5   391.9954   Bb6  466.1638
17  E4   164.8138   B5   246.9417   E5   329.6276   G#5  415.3047   B6   493.8833
18  F4   174.6141   C5   261.6256   F5   349.2282   A6   440        C6   523.2511
19  F#4  184.9972   C#5  277.1826   F#5  369.9944   Bb6  466.1638   C#6  554.3653

-7 Frets

    5               4               3               2               1

0   C3   65.40639   G3   97.99886   C4   130.8128   E4   164.8138   G4   195.9977
1   C#3  69.29566   G#3  103.8262   C#4  138.5913   F4   174.6141   G#4  207.6523
2   D3   73.41619   A4   110        D4   146.8324   F#4  184.9972   A5   220
3   D#3  77.78175   Bb4  116.5409   D#4  155.5635   G4   195.9977   Bb5  233.0819
4   E3   82.40689   B4   123.4708   E4   164.8138   G#4  207.6523   B5   246.9417
5   F3   87.30706   C4   130.8128   F4   174.6141   A5   220        C5   261.6256
6   F#3  92.49861   C#4  138.5913   F#4  184.9972   Bb5  233.0819   C#5  277.1826
7   G3   97.99886   D4   146.8324   G4   195.9977   B5   246.9417   D5   293.6648
8   G#3  103.8262   D#4  155.5635   G#4  207.6523   C5   261.6256   D#5  311.127
9   A4   110        E4   164.8138   A5   220        C#5  277.1826   E5   329.6276
10  Bb4  116.5409   F4   174.6141   Bb5  233.0819   D5   293.6648   F5   349.2282
11  B4   123.4708   F#4  184.9972   B5   246.9417   D#5  311.127    F#5  369.9944
12  C4   130.8128   G4   195.9977   C5   261.6256   E5   329.6276   G5   391.9954
